:ID,name,page:long,definition,feature,url,:LABEL
363,矩阵,,矩阵时一个m×n个元素排成的m行n列的表,矩阵可以对其元素进行随机存取，矩阵的运算便捷，存储密度为1.,,section
378,广义表,,如果允许线性表中的数据元素也是一个线性表时，就称这种拓宽了的线性表称为广义表。,广义表是一种多层的数据结构，元素可以是原子也可以是子表；广义表是一个递归的表；广义表可以为其他表所共享。,,section
409,线索二叉树,215,指向直接前驱和直接后记结点的指针称为线索，加了线索的二叉树称为线索二叉树。,在线索二叉树中，利用二叉链表中的n+1个空指针域来存放指向某种遍历次序下的前驱结点和后继结点的指针，这些附加的指针就称为”线索“。,https://www.bilibili.com/video/BV1nJ411V7bd?p=94,section
433,哈夫曼树及应用,,树的带权路径长度达到最小，称这样的二叉树为最优二叉树，也称为哈夫曼树。,哈夫曼树是带权路径长度最短的树，权值较大的节点离根较近。,,section
441,二叉树,,,,,section
443,树,,,,,section
444,树和森林的转换,,,,,section
446,图的基本概念和术语,,,,https://www.bilibili.com/video/BV1nJ411V7bd?p=108,section
451,图的存储及创建,,,,,section
465,图的遍历及应用,,,,,section
474,最小生成树,,对于一个带权连通无向图G=（V，E），生成树不同，每棵树的权（树中所有边上的权值和）也不同，设R为G的所有生成树的集合，若T为R中权值和最小的生成树，则T称为G的最小生成树,1、最小生成树可能有多个，但边的权值之和总是唯一且最小的2、最小生成树的边数=定点数-1，砍掉一条则不连通，增加一条则会出现回路。3、若一个连通图本身就是一颗树，则其最小生成树就是它本身。4、只有连通图才有生成树，非连通图只有生成森林。,,section
480,最短路径问题,,在存在权值的图中，由于权值的不同，两点之间也存在不同权值之和的路径，两点间权值之和最小的路径称之为最短路径。,无,,section
484,拓扑排序,313,拓扑排序是一个有向无环图的所有顶点的线性序列。,每个顶点出现且只出现一次。若存在一条从顶点 A 到顶点 B 的路径，那么在序列中顶点 A 出现在顶点 B 的前面。,https://www.bilibili.com/video/BV1nJ411V7bd?p=134,section
485,关键路径,316,由于AOE网中的有些活动是可以并行进行的，所以完成工程的最短时间是从源点到汇点的最长路径的长度。路径长度最长的路径就叫做 关键路径,关键路径的长度就是完成所有关键活动所需的总和,,section
501,查找表,331,在计算机科学中，查找表是用简单的查询操作替换运行时计算的数组或者 associative array 这样的数据结构。,只进行查找，不做修改。,https://www.bilibili.com/video/BV1nJ411V7bd/?p=137&vd_source=5632e926204c9c83c01af7975745ede3,section
505,线性表的查找,333,,,,section
509,树表,345,,,,section
